Level,item_number,Quantity,reference_designator
0,830-00017,1,
1,175-00021,1,Bare PCB
1,450-00001,1,
1,445-00005,1,
1,125-00059,1,J1
1,125-00047,3,"P1, P4, P5"
1,125-00058,3,"P3, P8, P9"
1,125-00033,1,P7
1,180-00076,2,"RN1, RN2"
1,185-00010,1,S1
1,150-00076,1,U1
