Level,item_number,Quantity,reference_designator
0,830-00016,1,
1,175-00020,1,Bare PCB
1,120-00002,2,"C1, C2"
1,120-00009,2,"C3, C4"
1,125-00057,1,P1
1,125-00037,4,"P2, P5, P6, P7"
1,125-00058,3,"P3, P8, P9"
1,125-00024,1,P4
1,150-00065,1,U1
1,150-00080,1,U2
