Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

Designator TARGET_MECHANICAL_5   -979.102mil  -1607.465mil      23798mil       9077mil   -979.102mil  -1607.465mil  T         90.00 Comment        
Designator TARGET_MECHANICAL_5   -979.102mil  -1607.465mil      23798mil      13940mil   -979.102mil  -1607.465mil  T         90.00 Comment        
Designator TARGET_MECHANICAL_5   -979.102mil  -1607.465mil      17911mil      13932mil   -979.102mil  -1607.465mil  T         90.00 Comment        
TP11       SMD_TEST_POINT   19495.758mil  13345.758mil  19495.758mil  13345.758mil  19495.758mil  13345.758mil  T        180.00 Test Point SMD 
TP10       SMD_TEST_POINT       20391mil      13178mil      20391mil      13178mil      20391mil      13178mil  T        270.00 Test Point SMD 
TP9        SMD_TEST_POINT       19843mil      13196mil      19843mil      13196mil      19843mil      13196mil  T        270.00 Test Point SMD 
TP8        SMD_TEST_POINT       20542mil      13100mil      20542mil      13100mil      20542mil      13100mil  T        180.00 Test Point SMD 
TP7        SMD_TEST_POINT       20518mil      13356mil      20518mil      13356mil      20518mil      13356mil  T        180.00 Test Point SMD 
TP6        SMD_TEST_POINT       20004mil      13070mil      20004mil      13070mil      20004mil      13070mil  T        180.00 Test Point SMD 
TP5        SMD_TEST_POINT       20009mil      13348mil      20009mil      13348mil      20009mil      13348mil  T        180.00 Test Point SMD 
TP4        SMD_TEST_POINT       19793mil      12915mil      19793mil      12915mil      19793mil      12915mil  T         90.00 Test Point SMD 
TP3        SMD_TEST_POINT       19807mil      12429mil      19807mil      12429mil      19807mil      12429mil  T         90.00 Test Point SMD 
TP2        SMD_TEST_POINT       19182mil      12669mil      19182mil      12669mil      19182mil      12669mil  T         90.00 Test Point SMD 
TP1        SMD_TEST_POINT       19932mil      12427mil      19932mil      12427mil      19932mil      12427mil  T         90.00 Test Point SMD 
S2         DIP6_SMD             20158mil      10036mil      20158mil      10036mil    19994.5mil      10136mil  T          0.00 SD03H0SB       
S1         B3U-1000P            22194mil      10786mil      22194mil      10786mil      22194mil      10715mil  T         90.00 B3U-1000P      
R31        SMD_0805             19417mil      11337mil      19417mil      11337mil      19372mil      11337mil  T        360.00 Res 0805       
R30        SMD_0805             19457mil      11857mil      19457mil      11857mil      19412mil      11857mil  T        360.00 Res 0805       
R29        SMD_0805             19457mil      11597mil      19457mil      11597mil      19412mil      11597mil  T        360.00 Res 0805       
R28        SMD_0805             19155mil      10131mil      19155mil      10131mil      19155mil      10086mil  T         90.00 Res 0805       
R27        SMD_0805             19065mil      10221mil      19065mil      10221mil      19065mil      10266mil  T        270.00 Res 0805       
R26        SMD_0805             19055mil      11021mil      19055mil      11021mil      19055mil      11066mil  T        270.00 Res 0805       
R25        SMD_0805             19755mil       9851mil      19755mil       9851mil      19710mil       9851mil  T        360.00 Res 0805       
R24        SMD_0805             19055mil      11621mil      19055mil      11621mil      19055mil      11666mil  T        270.00 Res 0805       
R23        SMD_0805             19785mil      10171mil      19785mil      10171mil      19785mil      10216mil  T        270.00 Res 0805       
R22        SMD_0805         21558.417mil      11476mil  21558.417mil      11476mil  21558.417mil      11521mil  T        270.00 Res 0805       
R21        SMD_0805             21675mil      11819mil      21675mil      11819mil      21675mil      11864mil  T        270.00 Res 0805       
R20        SMD_0805         21478.417mil      11476mil  21478.417mil      11476mil  21478.417mil      11521mil  T        270.00 Res 0805       
