Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

Designator TARGET_MECHANICAL_5  -9866.142mil -10306.299mil       6218mil       5401mil  -9866.142mil -10306.299mil  T        360.00 Comment        
Designator TARGET_MECHANICAL_5  -9866.142mil -10306.299mil       -761mil       5318mil  -9866.142mil -10306.299mil  T        360.00 Comment        
Designator TARGET_MECHANICAL_5  -9866.142mil -10306.299mil       -778mil      -1854mil  -9866.142mil -10306.299mil  T        360.00 Comment        
SW1        SMD_DIP_GULL_WING_16PIN   3120.464mil    3933.37mil   3470.464mil    3763.87mil   3470.464mil    3763.87mil  B         90.00 SW-SPST-8POS   
R1A        Vishay_3_pin      1942.094mil   1454.323mil   1942.094mil   1454.323mil   1842.094mil   1454.323mil  T        360.00 Vishay         
R1B        Vishay_3_pin      2989.338mil   1454.323mil   2989.339mil   1454.323mil   2889.338mil   1454.323mil  T        360.00 Vishay         
R1C        Vishay_3_pin       4040.52mil   1454.323mil    4040.52mil   1454.323mil    3940.52mil   1454.323mil  T        360.00 Vishay         
R1D        Vishay_3_pin      5072.016mil   1454.323mil   5072.016mil   1454.323mil   4972.016mil   1454.323mil  T        360.00 Vishay         
R2A        vishay_3_pin      1992.094mil    894.323mil   1992.094mil    894.323mil   1992.094mil    794.323mil  T         90.00 Vishay         
R2B        vishay_3_pin      3039.338mil    894.323mil   3039.339mil    894.323mil   3039.338mil    794.323mil  T         90.00 Vishay         
R2C        vishay_3_pin       4090.52mil    894.323mil    4090.52mil    894.323mil    4090.52mil    794.323mil  T         90.00 Vishay         
R2D        vishay_3_pin      5122.016mil    894.323mil   5122.016mil    894.323mil   5122.016mil    794.323mil  T         90.00 Vishay         
R3A        SMD_0805          2372.362mil   2069.055mil   2372.362mil   2069.055mil   2372.362mil   2024.055mil  T         90.00 Res SMD        
R3B        SMD_0805          3419.606mil   2069.055mil   3419.606mil   2069.055mil   3419.606mil   2024.055mil  T         90.00 Res SMD        
R3C        SMD_0805          4470.788mil   2069.055mil   4470.787mil   2069.055mil   4470.788mil   2024.055mil  T         90.00 Res SMD        
R3D        SMD_0805          5502.284mil   2069.055mil   5502.283mil   2069.055mil   5502.284mil   2024.055mil  T         90.00 Res SMD        
R4A        SMD_0805          2129.094mil   1962.323mil   2129.095mil   1962.323mil   2129.094mil   1917.323mil  T         90.00 Res SMD        
R4B        SMD_0805          3176.338mil   1962.323mil   3176.339mil   1962.323mil   3176.338mil   1917.323mil  T         90.00 Res SMD        
R4C        SMD_0805           4227.52mil   1962.323mil    4227.52mil   1962.323mil    4227.52mil   1917.323mil  T         90.00 Res SMD        
R4D        SMD_0805          5259.016mil   1962.323mil   5259.016mil   1962.323mil   5259.016mil   1917.323mil  T         90.00 Res SMD        
R5A        Vishay_3_pin      1959.094mil   1822.323mil   1959.094mil   1822.323mil   1859.094mil   1822.323mil  T        360.00 Vishay         
R5B        Vishay_3_pin      3006.338mil   1822.323mil   3006.339mil   1822.323mil   2906.338mil   1822.323mil  T        360.00 Vishay         
R5C        Vishay_3_pin       4057.52mil   1822.323mil    4057.52mil   1822.323mil    3957.52mil   1822.323mil  T        360.00 Vishay         
R5D        Vishay_3_pin      5089.016mil   1822.323mil   5089.016mil   1822.323mil   4989.016mil   1822.323mil  T        360.00 Vishay         
R6A        SMD_0805          2469.094mil   1472.323mil   2469.095mil   1472.323mil   2469.094mil   1517.323mil  T        270.00 Res SMD        
R6B        SMD_0805          3516.338mil   1472.323mil   3516.339mil   1472.323mil   3516.338mil   1517.323mil  T        270.00 Res SMD        
R6C        SMD_0805           4567.52mil   1472.323mil    4567.52mil   1472.323mil    4567.52mil   1517.323mil  T        270.00 Res SMD        
R6D        SMD_0805          5599.016mil   1472.323mil   5599.016mil   1472.323mil   5599.016mil   1517.323mil  T        270.00 Res SMD        
R7A        SMD_0805          2539.094mil   1472.323mil   2539.095mil   1472.323mil   2539.094mil   1517.323mil  T        270.00 Res SMD        
R7B        SMD_0805          3586.338mil   1472.323mil   3586.339mil   1472.323mil   3586.338mil   1517.323mil  T        270.00 Res SMD        
R7C        SMD_0805           4637.52mil   1472.323mil    4637.52mil   1472.323mil    4637.52mil   1517.323mil  T        270.00 Res SMD        
R7D        SMD_0805          5669.016mil   1472.323mil   5669.016mil   1472.323mil   5669.016mil   1517.323mil  T        270.00 Res SMD        
R8A        VISHAY_6_pin      2034.094mil   2722.323mil   1959.094mil   2722.323mil   1959.094mil   2822.323mil  T        270.00 Vishay         
R8B        VISHAY_6_pin      3081.338mil   2722.323mil   3006.339mil   2722.323mil   3006.338mil   2822.323mil  T        270.00 Vishay         
R8C        VISHAY_6_pin       4132.52mil   2722.323mil    4057.52mil   2722.323mil    4057.52mil   2822.323mil  T        270.00 Vishay         
R8D        VISHAY_6_pin      5164.016mil   2722.323mil   5089.016mil   2722.323mil   5089.016mil   2822.323mil  T        270.00 Vishay         
R9A        SMD_0805          2489.094mil   1622.323mil   2489.095mil   1622.323mil   2534.094mil   1622.323mil  T        180.00 Res SMD        
R9B        SMD_0805          3536.338mil   1622.323mil   3536.339mil   1622.323mil   3581.338mil   1622.323mil  T        180.00 Res SMD        
R9C        SMD_0805           4587.52mil   1622.323mil    4587.52mil   1622.323mil    4632.52mil   1622.323mil  T        180.00 Res SMD        
R9D        SMD_0805          5619.016mil   1622.323mil   5619.016mil   1622.323mil   5664.016mil   1622.323mil  T        180.00 Res SMD        
R10A       SMD_0805          2242.094mil    984.323mil   2242.095mil    984.323mil   2242.094mil    939.323mil  T         90.00 Res SMD        
R10B       SMD_0805          3289.338mil    984.323mil   3289.339mil    984.323mil   3289.338mil    939.323mil  T         90.00 Res SMD        
R10C       SMD_0805           4340.52mil    984.323mil    4340.52mil    984.323mil    4340.52mil    939.323mil  T         90.00 Res SMD        
R10D       SMD_0805          5372.016mil    984.323mil   5372.016mil    984.323mil   5372.016mil    939.323mil  T         90.00 Res SMD        
R11A       SMD_0805          2199.094mil    762.323mil   2199.095mil    762.323mil   2154.094mil    762.323mil  T        360.00 Res SMD        
R11B       SMD_0805          3246.338mil    762.323mil   3246.339mil    762.323mil   3201.338mil    762.323mil  T        360.00 Res SMD        
R11C       SMD_0805           4297.52mil    762.323mil    4297.52mil    762.323mil    4252.52mil    762.323mil  T        360.00 Res SMD        
R11D       SMD_0805          5329.016mil    762.323mil   5329.016mil    762.323mil   5284.016mil    762.323mil  T        360.00 Res SMD        
R12A       SMD_0805          1979.094mil   2422.323mil   1979.094mil   2422.323mil   1979.094mil   2467.323mil  T        270.00 Res SMD        
R12B       SMD_0805          3026.338mil   2422.323mil   3026.339mil   2422.323mil   3026.338mil   2467.323mil  T        270.00 Res SMD        
R12C       SMD_0805           4077.52mil   2422.323mil    4077.52mil   2422.323mil    4077.52mil   2467.323mil  T        270.00 Res SMD        
R12D       SMD_0805          5109.016mil   2422.323mil   5109.016mil   2422.323mil   5109.016mil   2467.323mil  T        270.00 Res SMD        
R13A       SMD_0805          2102.094mil    954.323mil   2102.095mil    954.323mil   2102.094mil    909.323mil  T         90.00 Res SMD        
R13B       SMD_0805          3149.338mil    954.323mil   3149.339mil    954.323mil   3149.338mil    909.323mil  T         90.00 Res SMD        
R13C       SMD_0805           4200.52mil    954.323mil    4200.52mil    954.323mil    4200.52mil    909.323mil  T         90.00 Res SMD        
R13D       SMD_0805          5232.016mil    954.323mil   5232.016mil    954.323mil   5232.016mil    909.323mil  T         90.00 Res SMD        
R14A       SMD_0805          2452.094mil    964.323mil   2452.095mil    964.323mil   2452.094mil   1009.323mil  T        270.00 Res SMD        
R14B       SMD_0805          3499.338mil    964.323mil   3499.339mil    964.323mil   3499.338mil   1009.323mil  T        270.00 Res SMD        
R14C       SMD_0805           4550.52mil    964.323mil    4550.52mil    964.323mil    4550.52mil   1009.323mil  T        270.00 Res SMD        
R14D       SMD_0805          5582.016mil    964.323mil   5582.016mil    964.323mil   5582.016mil   1009.323mil  T        270.00 Res SMD        
R15A       SMD_0805          1879.094mil   2422.323mil   1879.094mil   2422.323mil   1879.094mil   2377.323mil  T         90.00 Res SMD        
R15B       SMD_0805          2926.338mil   2422.323mil   2926.339mil   2422.323mil   2926.338mil   2377.323mil  T         90.00 Res SMD        
R15C       SMD_0805           3977.52mil   2422.323mil    3977.52mil   2422.323mil    3977.52mil   2377.323mil  T         90.00 Res SMD        
R15D       SMD_0805          5009.016mil   2422.323mil   5009.016mil   2422.323mil   5009.016mil   2377.323mil  T         90.00 Res SMD        
R16A       SMD_0805          1868.094mil   1965.323mil   1868.094mil   1965.323mil   1868.094mil   2010.323mil  T        270.00 Res SMD        
R16B       SMD_0805          2915.338mil   1965.323mil   2915.339mil   1965.323mil   2915.338mil   2010.323mil  T        270.00 Res SMD        
R16C       SMD_0805           3966.52mil   1965.323mil    3966.52mil   1965.323mil    3966.52mil   2010.323mil  T        270.00 Res SMD        
R16D       SMD_0805          4998.016mil   1965.323mil   4998.016mil   1965.323mil   4998.016mil   2010.323mil  T        270.00 Res SMD        
R17A       SMD_0805          2402.094mil   1454.323mil   2402.095mil   1454.323mil   2402.094mil   1499.323mil  T        270.00 Res SMD        
R17B       SMD_0805          3449.338mil   1454.323mil   3449.339mil   1454.323mil   3449.338mil   1499.323mil  T        270.00 Res SMD        
R17C       SMD_0805           4500.52mil   1454.323mil    4500.52mil   1454.323mil    4500.52mil   1499.323mil  T        270.00 Res SMD        
R17D       SMD_0805          5532.016mil   1454.323mil   5532.016mil   1454.323mil   5532.016mil   1499.323mil  T        270.00 Res SMD        
R18A       SMD_0805          2177.094mil   2932.323mil   2177.095mil   2932.323mil   2132.094mil   2932.323mil  T        360.00 Res SMD        
R18B       SMD_0805          3224.338mil   2932.323mil   3224.339mil   2932.323mil   3179.338mil   2932.323mil  T        360.00 Res SMD        
R18C       SMD_0805           4275.52mil   2932.323mil    4275.52mil   2932.323mil    4230.52mil   2932.323mil  T        360.00 Res SMD        
R18D       SMD_0805          5307.016mil   2932.323mil   5307.016mil   2932.323mil   5262.016mil   2932.323mil  T        360.00 Res SMD        
R19A       SMD_0805          2457.094mil   2922.323mil   2457.095mil   2922.323mil   2502.094mil   2922.323mil  T        180.00 Res SMD        
R19B       SMD_0805          3504.338mil   2922.323mil   3504.339mil   2922.323mil   3549.338mil   2922.323mil  T        180.00 Res SMD        
R19C       SMD_0805           4555.52mil   2922.323mil    4555.52mil   2922.323mil    4600.52mil   2922.323mil  T        180.00 Res SMD        
R19D       SMD_0805          5587.016mil   2922.323mil   5587.016mil   2922.323mil   5632.016mil   2922.323mil  T        180.00 Res SMD        
R20A       SMD_0805          2382.094mil    964.323mil   2382.095mil    964.323mil   2382.094mil    919.323mil  T         90.00 Res SMD        
R20B       SMD_0805          3429.338mil    964.323mil   3429.339mil    964.323mil   3429.338mil    919.323mil  T         90.00 Res SMD        
R20C       SMD_0805           4480.52mil    964.323mil    4480.52mil    964.323mil    4480.52mil    919.323mil  T         90.00 Res SMD        
R20D       SMD_0805          5512.016mil    964.323mil   5512.016mil    964.323mil   5512.016mil    919.323mil  T         90.00 Res SMD        
TP1A       PAD_80D_052H      2539.094mil   2062.323mil   2539.095mil   2062.323mil   2539.094mil   2062.323mil  T        360.00 Test point     
TP1B       PAD_80D_052H      3586.338mil   2062.323mil   3586.339mil   2062.323mil   3586.338mil   2062.323mil  T        360.00 Test point     
TP1C       PAD_80D_052H       4637.52mil   2062.323mil    4637.52mil   2062.323mil    4637.52mil   2062.323mil  T        360.00 Test point     
TP1D       PAD_80D_052H      5669.016mil   2062.323mil   5669.016mil   2062.323mil   5669.016mil   2062.323mil  T        360.00 Test point     
TP2A       PAD_80D_052H      2569.094mil   1062.323mil   2569.095mil   1062.323mil   2569.094mil   1062.323mil  T        360.00 Test point     
TP2B       PAD_80D_052H      3616.338mil   1062.323mil   3616.339mil   1062.323mil   3616.338mil   1062.323mil  T        360.00 Test point     
TP2C       PAD_80D_052H       4667.52mil   1062.323mil    4667.52mil   1062.323mil    4667.52mil   1062.323mil  T        360.00 Test point     
TP2D       PAD_80D_052H      5699.016mil   1062.323mil   5699.016mil   1062.323mil   5699.016mil   1062.323mil  T        360.00 Test point     
TP3A       PAD_80D_052H      2362.094mil   1604.323mil   2362.095mil   1604.323mil   2362.094mil   1604.323mil  T        360.00 Test point     
TP3B       PAD_80D_052H      3409.338mil   1604.323mil   3409.339mil   1604.323mil   3409.338mil   1604.323mil  T        360.00 Test point     
TP3C       PAD_80D_052H       4460.52mil   1604.323mil    4460.52mil   1604.323mil    4460.52mil   1604.323mil  T        360.00 Test point     
TP3D       PAD_80D_052H      5492.016mil   1604.323mil   5492.016mil   1604.323mil   5492.016mil   1604.323mil  T        360.00 Test point     
TP4A       PAD_80D_052H      1819.094mil   1652.323mil   1819.094mil   1652.323mil   1819.094mil   1652.323mil  T        360.00 Test point     
TP4B       PAD_80D_052H      2866.338mil   1652.323mil   2866.339mil   1652.323mil   2866.338mil   1652.323mil  T        360.00 Test point     
TP4C       PAD_80D_052H       3917.52mil   1652.323mil    3917.52mil   1652.323mil    3917.52mil   1652.323mil  T        360.00 Test point     
TP4D       PAD_80D_052H      4949.016mil   1652.323mil   4949.016mil   1652.323mil   4949.016mil   1652.323mil  T        360.00 Test point     
TP5A       PAD_80D_052H      2332.094mil    814.323mil   2332.095mil    814.323mil   2332.094mil    814.323mil  T        360.00 Test point     
TP5B       PAD_80D_052H      3379.338mil    814.323mil   3379.339mil    814.323mil   3379.338mil    814.323mil  T        360.00 Test point     
TP5C       PAD_80D_052H       4430.52mil    814.323mil    4430.52mil    814.323mil    4430.52mil    814.323mil  T        360.00 Test point     
TP5D       PAD_80D_052H      5462.016mil    814.323mil   5462.016mil    814.323mil   5462.016mil    814.323mil  T        360.00 Test point     
TP6A       PAD_80D_052H      2077.094mil   3042.323mil   2077.095mil   3042.323mil   2077.094mil   3042.323mil  T        360.00 Test point     
TP6B       PAD_80D_052H      3124.338mil   3042.323mil   3124.339mil   3042.323mil   3124.338mil   3042.323mil  T        360.00 Test point     
TP6C       PAD_80D_052H       4175.52mil   3042.323mil    4175.52mil   3042.323mil    4175.52mil   3042.323mil  T        360.00 Test point     
TP6D       PAD_80D_052H      5207.016mil   3042.323mil   5207.016mil   3042.323mil   5207.016mil   3042.323mil  T        360.00 Test point     
TP7A       PAD_80D_052H      2547.094mil   3032.323mil   2547.095mil   3032.323mil   2547.094mil   3032.323mil  T        360.00 Test point     
TP7B       PAD_80D_052H      3594.338mil   3032.323mil   3594.339mil   3032.323mil   3594.338mil   3032.323mil  T        360.00 Test point     
TP7C       PAD_80D_052H       4645.52mil   3032.323mil    4645.52mil   3032.323mil    4645.52mil   3032.323mil  T        360.00 Test point     
TP7D       PAD_80D_052H      5677.016mil   3032.323mil   5677.016mil   3032.323mil   5677.016mil   3032.323mil  T        360.00 Test point     
TP8        PAD_80D_052H      1700.001mil       2800mil       1700mil       2800mil   1700.001mil       2800mil  T          0.00 Test point     
TP9A       PAD_80D_052H      2559.094mil   2272.323mil   2559.095mil   2272.323mil   2559.094mil   2272.323mil  T        360.00 Test point     
TP9B       PAD_80D_052H      3606.338mil   2272.323mil   3606.339mil   2272.323mil   3606.338mil   2272.323mil  T        360.00 Test point     
TP9C       PAD_80D_052H       4657.52mil   2272.323mil    4657.52mil   2272.323mil    4657.52mil   2272.323mil  T        360.00 Test point     
TP9D       PAD_80D_052H      5689.016mil   2272.323mil   5689.016mil   2272.323mil   5689.016mil   2272.323mil  T        360.00 Test point     
TP10A      PAD_80D_052H      2059.094mil   3602.323mil   2059.095mil   3602.323mil   2059.094mil   3602.323mil  T        360.00 Test point     
TP10B      PAD_80D_052H      3106.338mil   3602.323mil   3106.339mil   3602.323mil   3106.338mil   3602.323mil  T        360.00 Test point     
TP10C      PAD_80D_052H       4157.52mil   3602.323mil    4157.52mil   3602.323mil    4157.52mil   3602.323mil  T        360.00 Test point     
TP10D      PAD_80D_052H      5189.016mil   3602.323mil   5189.016mil   3602.323mil   5189.016mil   3602.323mil  T        360.00 Test point     
TP11       PAD_80D_052H           800mil       1350mil        800mil       1350mil        800mil       1350mil  T         90.00                
TP12       PAD_80D_052H       800.001mil       1150mil        800mil       1150mil    800.001mil       1150mil  T         90.00                
TP13       PAD_80D_052H       800.001mil        950mil        800mil        950mil    800.001mil        950mil  T         90.00                
TP14       PAD_80D_052H      3800.001mil       2000mil       3800mil       2000mil   3800.001mil       2000mil  T         90.00                
TP15       PAD_80D_052H      3747.001mil       4131mil       3747mil       4131mil   3747.001mil       4131mil  T         90.00                
TP16       PAD_80D_052H      5720.001mil       4148mil       5720mil       4148mil   5720.001mil       4148mil  T         90.00                
TP17       PAD_80D_052H          2792mil       3121mil       2792mil       3121mil       2792mil       3121mil  T         90.00                
TP18       PAD_80D_052H           150mil       4150mil        150mil       4150mil        150mil       4150mil  T         90.00                
TP19       PAD_80D_052H          4900mil       2800mil       4900mil       2800mil       4900mil       2800mil  T         90.00 Test point     
TP20       PAD_80D_052H      1600.001mil       1300mil       1600mil       1300mil   1600.001mil       1300mil  T         90.00 Test point     
TP21       PAD_80D_052H          1600mil       1050mil       1600mil       1050mil       1600mil       1050mil  T         90.00 Test point     
TP22       PAD_80D_052H      2650.001mil       1300mil       2650mil       1300mil   2650.001mil       1300mil  T         90.00 Test point     
TP23       PAD_80D_052H          4900mil       3000mil       4900mil       3000mil       4900mil       3000mil  T         90.00 Test point     
TP24       PAD_80D_052H      4900.001mil       3550mil       4900mil       3550mil   4900.001mil       3550mil  T         90.00 Test point     
TP25       PAD_80D_052H      4500.001mil       4150mil       4500mil       4150mil   4500.001mil       4150mil  T         90.00                
TP26       PAD_80D_052H          4900mil       3250mil       4900mil       3250mil       4900mil       3250mil  T         90.00 Test point     
TP27       PAD_80D_052H          5000mil       4150mil       5000mil       4150mil       5000mil       4150mil  T         90.00                
TP28       PAD_80D_052H          4250mil       4150mil       4250mil       4150mil       4250mil       4150mil  T         90.00                
TP29       PAD_80D_052H      5500.001mil       4150mil       5500mil       4150mil   5500.001mil       4150mil  T         90.00                
TP30       PAD_80D_052H          5250mil       4150mil       5250mil       4150mil       5250mil       4150mil  T         90.00                
TP31       PAD_80D_052H      4750.001mil       4150mil       4750mil       4150mil   4750.001mil       4150mil  T         90.00                
U1A        MSOP_with_PowerPAD   2239.094mil   1922.323mil   2239.095mil   1922.323mil    2277.48mil   2004.015mil  T        180.00 THS4031        
U1B        MSOP_with_PowerPAD   3286.338mil   1922.323mil   3286.339mil   1922.323mil   3324.724mil   2004.015mil  T        180.00 THS4031        
U1C        MSOP_with_PowerPAD    4337.52mil   1922.323mil    4337.52mil   1922.323mil   4375.906mil   2004.015mil  T        180.00 THS4031        
U1D        MSOP_with_PowerPAD   5369.016mil   1922.323mil   5369.016mil   1922.323mil   5407.402mil   2004.015mil  T        180.00 THS4031        
U2A        182H_M            2449.094mil   1812.323mil   2449.095mil   1812.323mil   2524.094mil   1908.779mil  T        270.00 DG642          
U2B        182H_M            3496.338mil   1812.323mil   3496.339mil   1812.323mil   3571.338mil   1908.779mil  T        270.00 DG642          
U2C        182H_M             4547.52mil   1812.323mil    4547.52mil   1812.323mil    4622.52mil   1908.779mil  T        270.00 DG642          
U2D        182H_M            5579.016mil   1812.323mil   5579.016mil   1812.323mil   5654.016mil   1908.779mil  T        270.00 DG642          
U3A        SOIC16            2102.094mil   1214.323mil   2102.095mil   1214.323mil   2277.094mil   1316.685mil  T        180.00 DG213A         
U3B        SOIC16            3149.338mil   1214.323mil   3149.339mil   1214.323mil   3324.338mil   1316.685mil  T        180.00 DG213A         
U3C        SOIC16             4200.52mil   1214.323mil    4200.52mil   1214.323mil    4375.52mil   1316.685mil  T        180.00 DG213A         
U3D        SOIC16            5232.016mil   1214.323mil   5232.016mil   1214.323mil   5407.016mil   1316.685mil  T        180.00 DG213A         
U4A        MSOP_with_PowerPAD   1939.094mil   1642.323mil   1939.094mil   1642.323mil    1977.48mil   1724.015mil  T        180.00 THS4031        
U4B        MSOP_with_PowerPAD   2986.338mil   1642.323mil   2986.339mil   1642.323mil   3024.724mil   1724.015mil  T        180.00 THS4031        
U4C        MSOP_with_PowerPAD    4037.52mil   1642.323mil    4037.52mil   1642.323mil   4075.906mil   1724.015mil  T        180.00 THS4031        
U4D        MSOP_with_PowerPAD   5069.016mil   1642.323mil   5069.016mil   1642.323mil   5107.402mil   1724.015mil  T        180.00 THS4031        
U5A        MSOP_with_PowerPAD   2222.095mil   1454.323mil   2222.095mil   1454.323mil   2140.402mil   1492.709mil  T        270.00 THS4031        
U5B        MSOP_with_PowerPAD   3269.339mil   1454.323mil   3269.339mil   1454.323mil   3187.646mil   1492.709mil  T        270.00 THS4031        
U5C        MSOP_with_PowerPAD   4320.519mil   1454.323mil    4320.52mil   1454.323mil   4238.826mil   1492.709mil  T        270.00 THS4031        
U5D        MSOP_with_PowerPAD   5352.015mil   1454.323mil   5352.016mil   1454.323mil   5270.322mil   1492.709mil  T        270.00 THS4031        
U6A        TQFP48_m          2322.094mil   3326.323mil   2322.095mil   3326.323mil   2213.826mil   3164.905mil  T         90.00 0.2 ppm        
U6C        TQFP48_m          4420.519mil   3326.323mil    4420.52mil   3326.323mil   4312.252mil   3164.905mil  T         90.00 0.2 ppm        
U6D        TQFP48_m          5452.015mil   3326.323mil   5452.016mil   3326.323mil   5343.748mil   3164.905mil  T         90.00 0.2 ppm        
U7A        182H_M            2390.094mil   2608.323mil   2390.095mil   2608.323mil   2465.094mil   2704.779mil  T        270.00 THS4151        
U7B        182H_M            3437.338mil   2608.323mil   3437.339mil   2608.323mil   3512.338mil   2704.779mil  T        270.00 THS4151        
U7C        182H_M             4488.52mil   2608.323mil    4488.52mil   2608.323mil    4563.52mil   2704.779mil  T        270.00 THS4151        
U7D        182H_M            5520.016mil   2608.323mil   5520.016mil   2608.323mil   5595.016mil   2704.779mil  T        270.00 THS4151        
U8         NSO8_M                1374mil       2323mil       1374mil       2323mil   1277.543mil       2398mil  T          0.00 4.096V +/-0.5ppm
U10        SMD_SOT23_5         313.15mil   3659.252mil     313.15mil   3659.252mil     270.15mil   3696.252mil  T         90.00 FIN1002M5      
U11A       SO-8_M            1904.094mil   2199.323mil   1904.094mil   2199.323mil   1979.094mil   2295.779mil  T        270.00 SSM2210        
U11B       SO-8_M            2951.338mil   2199.323mil   2951.339mil   2199.323mil   3026.338mil   2295.779mil  T        270.00 SSM2210        
U11C       SO-8_M             4002.52mil   2199.323mil    4002.52mil   2199.323mil    4077.52mil   2295.779mil  T        270.00 SSM2210        
U11D       SO-8_M            5034.016mil   2199.323mil   5034.016mil   2199.323mil   5109.016mil   2295.779mil  T        270.00 SSM2210        
U12A       SOT-363           2317.094mil   2932.323mil   2317.095mil   2932.323mil   2291.504mil   2901.811mil  T        360.00 Diode array    
U12B       SOT-363           3364.338mil   2932.323mil   3364.339mil   2932.323mil   3338.748mil   2901.811mil  T        360.00 Diode array    
U12C       SOT-363           4415.519mil   2932.323mil    4415.52mil   2932.323mil   4389.928mil   2901.811mil  T        360.00 Diode array    
U12D       SOT-363           5447.015mil   2932.323mil   5447.016mil   2932.323mil   5421.424mil   2901.811mil  T        360.00 Diode array    
U13A       SO-8_M            2432.094mil   1214.323mil   2432.095mil   1214.323mil   2507.094mil   1310.779mil  T        270.00 SSM2210        
U13B       SO-8_M            3479.338mil   1214.323mil   3479.339mil   1214.323mil   3554.338mil   1310.779mil  T        270.00 SSM2210        
U13C       SO-8_M             4530.52mil   1214.323mil    4530.52mil   1214.323mil    4605.52mil   1310.779mil  T        270.00 SSM2210        
U13D       SO-8_M            5562.016mil   1214.323mil   5562.016mil   1214.323mil   5637.016mil   1310.779mil  T        270.00 SSM2210        
U14        TQFP144_L          901.576mil   3149.606mil    901.575mil   3149.606mil    487.205mil   3494.094mil  T        360.00 EPM570T144C3   
C56        SMD_0805          1656.999mil   1908.001mil       1657mil       1908mil   1701.999mil   1908.001mil  T        180.00 Cap SMD        
R21        SMD_0805           293.151mil   3529.252mil     293.15mil   3529.252mil    248.151mil   3529.252mil  T        360.00 Res SMD        
U9         QFN48_M           1094.488mil   1744.488mil       1000mil       1650mil     953.74mil   1852.756mil  T          0.00 MAX1258        
C55        SMD_CAP_3216          1426mil    363.001mil       1426mil        363mil       1426mil    418.001mil  T         90.00 15V            
C57        SMD_CAP_3216      4777.001mil    930.001mil       4777mil        930mil   4777.001mil    985.001mil  T         90.00 15V            
Q1         SMD_SOT23_3           5400mil        540mil       5400mil        540mil       5443mil        503mil  T         90.00 FDV304P        
U15        SMD_SOT23_3           5230mil        540mil       5230mil        540mil       5273mil        503mil  T         90.00 DS2411         
C60        SMD_0805              1129mil       2397mil       1129mil       2397mil       1129mil       2442mil  T        270.00 Cap SMD        
C61        SMD_0805              1129mil       2246mil       1129mil       2246mil       1129mil       2201mil  T         90.00 Cap SMD        

