Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

Designator TARGET_MECHANICAL_5  -9866.142mil -10306.299mil       6218mil       5401mil  -9866.142mil -10306.299mil  T        360.00 Comment        
Designator TARGET_MECHANICAL_5  -9866.142mil -10306.299mil       -761mil       5318mil  -9866.142mil -10306.299mil  T        360.00 Comment        
Designator TARGET_MECHANICAL_5  -9866.142mil -10306.299mil       -778mil      -1854mil  -9866.142mil -10306.299mil  T        360.00 Comment        
SW1        SMD_DIP_GULL_WING_16PIN   3120.464mil    3933.37mil   3470.464mil    3763.87mil   3470.464mil    3763.87mil  B         90.00 SW-SPST-8POS   
C24C       SMD_CAP_3216      4199.788mil   3246.055mil   4199.787mil   3246.055mil   4254.788mil   3246.055mil  B        360.00 Cap Pol        
C25B       SMD_0805          3158.606mil   3166.055mil   3158.606mil   3166.055mil   3113.606mil   3166.055mil  B        360.00 Cap            
C25C       SMD_0805          4209.788mil   3166.055mil   4209.787mil   3166.055mil   4164.788mil   3166.055mil  B        360.00 Cap            
C26B       SMD_0805          3600.606mil   2533.055mil   3600.606mil   2533.055mil   3600.606mil   2578.055mil  B        270.00 Cap            
C26C       SMD_0805          4651.788mil   2533.055mil   4651.787mil   2533.055mil   4651.788mil   2578.055mil  B        270.00 Cap            
C28B       SMD_0805          3490.606mil   2623.055mil   3490.606mil   2623.055mil   3490.606mil   2578.055mil  B         90.00 Cap            
C28C       SMD_0805          4541.788mil   2623.055mil   4541.787mil   2623.055mil   4541.788mil   2578.055mil  B         90.00 Cap            
C29B       SMD_0805          3158.606mil   3526.055mil   3158.606mil   3526.055mil   3113.606mil   3526.055mil  B        360.00 Cap            
C29C       SMD_0805          4209.788mil   3526.055mil   4209.787mil   3526.055mil   4164.788mil   3526.055mil  B        360.00 Cap            
C30B       SMD_CAP_3216      3148.606mil   3416.055mil   3148.606mil   3416.055mil   3203.606mil   3416.055mil  B        360.00 Cap Pol        
C30C       SMD_CAP_3216      4199.788mil   3416.055mil   4199.787mil   3416.055mil   4254.788mil   3416.055mil  B        360.00 Cap Pol        
C31B       SMD_CAP_3216      3600.606mil   2733.055mil   3600.606mil   2733.055mil   3600.606mil   2788.055mil  B         90.00 Cap Pol        
C31C       SMD_CAP_3216      4651.788mil   2733.055mil   4651.787mil   2733.055mil   4651.788mil   2788.055mil  B         90.00 Cap Pol        
C48B       SMD_CAP_3216      3318.606mil   3056.055mil   3318.606mil   3056.055mil   3318.606mil   3111.055mil  B         90.00 Cap Pol        
C48C       SMD_CAP_3216      4369.788mil   3056.055mil   4369.787mil   3056.055mil   4369.788mil   3111.055mil  B         90.00 Cap Pol        
L1B        SMD_1210_INDUCT   3278.606mil   1324.055mil   3278.606mil   1324.055mil   3343.606mil   1324.055mil  B        180.00 Inductor       
L1C        SMD_1210_INDUCT   4329.788mil   1324.055mil   4329.787mil   1324.055mil   4394.788mil   1324.055mil  B        180.00 Inductor       
L2B        SMD_1210_INDUCT   3258.606mil   1694.055mil   3258.606mil   1694.055mil   3193.606mil   1694.055mil  B        360.00 Inductor       
L2C        SMD_1210_INDUCT   4309.788mil   1694.055mil   4309.787mil   1694.055mil   4244.788mil   1694.055mil  B        360.00 Inductor       
