Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

           fid                    300mil        900mil        300mil        900mil        300mil        900mil  T        360.00                
           fid                   5700mil        140mil       5700mil        140mil       5700mil        140mil  T        360.00                
           fid                    300mil       4100mil        300mil       4100mil        300mil       4100mil  T        360.00                
C11        0603                3752.5mil   2350.008mil       3780mil       2350mil       3780mil   2350.008mil  T        180.00 0.1uF          
C12        0603              5450.008mil     2077.5mil       5450mil       2050mil   5450.008mil       2050mil  T         90.00 0.1uF          
C13        Size_B             4910.22mil    3619.85mil       4910mil       3525mil    4910.22mil    3524.85mil  T         90.00 22uF 10V       
C14        0603                2392.5mil   1820.008mil       2420mil       1820mil       2420mil   1820.008mil  T        180.00 10pF           
C15        0603                3967.5mil   4150.008mil       3995mil       4150mil       3995mil   4150.008mil  T        180.00 0.1uF          
C16        0805                  5705mil        315mil       5705mil        360mil       5705mil        360mil  T        270.00 0.15uF         
C17        0805                  5595mil        315mil       5595mil        360mil       5595mil        360mil  T        270.00 0.15uF         
C18        0603                3652.5mil   3874.992mil       3625mil       3875mil       3625mil   3874.992mil  T          0.00 0.1uF          
C19        0805                  5415mil        525mil       5415mil        570mil       5415mil        570mil  T        270.00 0.15uF         
C20        0603                3652.5mil   3634.992mil       3625mil       3635mil       3625mil   3634.992mil  T        360.00 0.1uF          
C21        0603                2392.5mil   1625.008mil       2420mil       1625mil       2420mil   1625.008mil  T        180.00 10pF           
C22        0603                3667.5mil   3304.992mil       3640mil       3305mil       3640mil   3304.992mil  T        360.00 0.1uF          
C23        0603              3929.992mil     1672.5mil       3930mil       1700mil   3929.992mil       1700mil  T        270.00 0.1uF          
C24        0603                5412.5mil   1234.992mil       5385mil       1235mil       5385mil   1234.992mil  T        360.00 0.1uF          
C25        0603              4000.008mil     2967.5mil       4000mil       2940mil   4000.008mil       2940mil  T         90.00 0.1uF          
C26        0603                4732.5mil   3270.008mil       4760mil       3270mil       4760mil   3270.008mil  T        180.00 0.1uF          
C27        0603                4727.5mil   3715.008mil       4755mil       3715mil       4755mil   3715.008mil  T        180.00 0.1uF          
C28        0603                4382.5mil   4150.008mil       4410mil       4150mil       4410mil   4150.008mil  T        180.00 0.1uF          
C29        size_a                4030mil       1306mil       4030mil       1375mil       4030mil       1375mil  T        270.00 10uF 6V        
C30        0603                4227.5mil   4149.992mil       4200mil       4150mil       4200mil   4149.992mil  T        360.00 0.1uF          
C31        size_a                4306mil        985mil       4375mil        985mil       4375mil        985mil  T        180.00 10uF 6V        
C32        Size_B             3585.15mil    4000.22mil       3680mil       4000mil    3680.15mil    4000.22mil  T        180.00 22uF 10V       
C33        0603              3900.008mil      942.5mil       3900mil        915mil   3900.008mil        915mil  T         90.00 0.1uF          
C34        0603              5065.008mil     1227.5mil       5065mil       1200mil   5065.008mil       1200mil  T         90.00 0.1uF          
C35        0603                4282.5mil   1119.992mil       4255mil       1120mil       4255mil   1119.992mil  T        360.00 0.1uF          
C36        0603              3639.389mil   1340.876mil   3611.889mil   1340.884mil   3611.889mil   1340.876mil  T        360.00 0.1uF          
C37        0603              5065.008mil     1092.5mil       5065mil       1065mil   5065.008mil       1065mil  T         90.00 0.01uF         
C38        0603              4410.008mil     1147.5mil       4410mil       1120mil   4410.008mil       1120mil  T         90.00 0.01uF         
C39        0603                4932.5mil   3360.008mil       4960mil       3360mil       4960mil   3360.008mil  T        180.00 0.1uF          
C40        B-Size                1085mil       3830mil       1085mil       3925mil       1085mil       3925mil  T        270.00 22uF 6V        
C41        B-Size                1285mil       3225mil       1285mil       3130mil       1285mil       3130mil  T         90.00 22uF 6V        
C42        0603                1247.5mil   3894.992mil       1220mil       3895mil       1220mil   3894.992mil  T        360.00 0.1uF          
C43        0603                1257.5mil   2934.992mil       1230mil       2935mil       1230mil   2934.992mil  T        360.00 0.1uF          
C44        0603                1247.5mil   3829.992mil       1220mil       3830mil       1220mil   3829.992mil  T        360.00 0.1uF          
C45        0603                1257.5mil   2864.992mil       1230mil       2865mil       1230mil   2864.992mil  T        360.00 0.1uF          
C46        0603                2257.5mil   1990.008mil       2285mil       1990mil       2285mil   1990.008mil  T        180.00 10pF           
C47        0603                2027.5mil   3315.016mil       2055mil   3315.008mil       2055mil   3315.016mil  T        180.00 0.1uF          
C48        0603                1977.5mil   2350.008mil       2005mil       2350mil       2005mil   2350.008mil  T        180.00 0.1uF          
C49        0603               230.008mil     2327.5mil        230mil       2300mil    230.008mil       2300mil  T         90.00 0.1uF          
C50        0603                2392.5mil   3795.008mil       2420mil       3795mil       2420mil   3795.008mil  T        180.00 0.1uF          
C51        0603                2387.5mil   2860.008mil       2415mil       2860mil       2415mil   2860.008mil  T        180.00 0.1uF          
C52        0603                1842.5mil   4199.992mil       1815mil       4200mil       1815mil   4199.992mil  T        360.00 0.1uF          
C53        0603                1847.5mil   3269.992mil       1820mil       3270mil       1820mil   3269.992mil  T        360.00 0.1uF          
C54        0603                2382.5mil   2095.008mil       2410mil       2095mil       2410mil   2095.008mil  T        180.00 10pF           
C55        B-Size                2365mil       4160mil       2460mil       4160mil       2460mil       4160mil  T        180.00 22uF 6V        
C56        B-Size                2370mil       3230mil       2465mil       3230mil       2465mil       3230mil  T        180.00 22uF 6V        
C57        0603                2392.5mil   3864.992mil       2365mil       3865mil       2365mil   3864.992mil  T        360.00 0.1uF          
C58        0603                2387.5mil   2924.992mil       2360mil       2925mil       2360mil   2924.992mil  T        360.00 0.1uF          
C59        0603                2392.5mil   3934.992mil       2365mil       3935mil       2365mil   3934.992mil  T        360.00 0.1uF          
C60        0603                2387.5mil   2989.992mil       2360mil       2990mil       2360mil   2989.992mil  T        360.00 0.1uF          
C61        0603                2947.5mil   4199.992mil       2920mil       4200mil       2920mil   4199.992mil  T          0.00 0.1uF          
C62        0603                3027.5mil   2349.992mil       3000mil       2350mil       3000mil   2349.992mil  T        360.00 0.1uF          
C63        0603              1155.008mil     1797.5mil       1155mil       1770mil   1155.008mil       1770mil  T         90.00 0.1uF          
C64        0603                3467.5mil   3875.008mil       3495mil       3875mil       3495mil   3875.008mil  T        180.00 0.1uF          
C65        0603              3400.008mil     2862.5mil       3400mil       2835mil   3400.008mil       2835mil  T         90.00 0.1uF          
C66        0603                3072.5mil   3304.992mil       3045mil       3305mil       3045mil   3304.992mil  T        360.00 0.1uF          
C67        0603                2917.5mil   3304.992mil       2890mil       3305mil       2890mil   3304.992mil  T        360.00 0.1uF          
C68        0603              5024.992mil     2972.5mil       5025mil       3000mil   5024.992mil       3000mil  T        270.00 0.1uF          
C69        size_a                4924mil       2640mil       4855mil       2640mil       4855mil       2640mil  T        360.00 10uF 6V        
C70        size_a                4441mil       2650mil       4510mil       2650mil       4510mil       2650mil  T        180.00 10uF 6V        
C71        0603              1155.008mil     1922.5mil       1155mil       1895mil   1155.008mil       1895mil  T         90.00 0.1uF          
C72        0603              4730.008mil     2672.5mil       4730mil       2645mil   4730.008mil       2645mil  T         90.00 0.1uF          
C73        0603              4654.992mil     2672.5mil       4655mil       2700mil   4654.992mil       2700mil  T        270.00 0.1uF          
C74        0603              5299.992mil     2342.5mil       5300mil       2370mil   5299.992mil       2370mil  T        270.00 0.1uF          
C75        0603              1599.992mil     1912.5mil       1600mil       1940mil   1599.992mil       1940mil  T        270.00 0.1uF          
C76        0603              1600.008mil     1787.5mil       1600mil       1760mil   1600.008mil       1760mil  T         90.00 0.1uF          
C77        size_a                 550mil       1889mil        550mil       1820mil        550mil       1820mil  T         90.00 10uF 6V        
C78        size_a                 990mil       1889mil        990mil       1820mil        990mil       1820mil  T         90.00 10uF 6V        
C79        0603              4245.008mil     2262.5mil       4245mil       2235mil   4245.008mil       2235mil  T         90.00 0.1uF          
C80        0603                5227.5mil   2054.992mil       5200mil       2055mil       5200mil   2054.992mil  T        360.00 0.1uF          
C81        0603              2850.008mil     2242.5mil       2850mil       2215mil   2850.008mil       2215mil  T         90.00 0.1uF          
C82        0603              2625.008mil     2242.5mil       2625mil       2215mil   2625.008mil       2215mil  T         90.00 0.1uF          
C83        0603              2720.008mil     2242.5mil       2720mil       2215mil   2720.008mil       2215mil  T         90.00 0.1uF          
C84        0603              2915.008mil     2242.5mil       2915mil       2215mil   2915.008mil       2215mil  T         90.00 0.1uF          
C85        0603              3125.008mil     2242.5mil       3125mil       2215mil   3125.008mil       2215mil  T         90.00 0.1uF          
C86        0603              3060.008mil     2242.5mil       3060mil       2215mil   3060.008mil       2215mil  T         90.00 0.1uF          
C87        0603                3422.5mil   2039.992mil       3395mil       2040mil       3395mil   2039.992mil  T        360.00 0.1uF          
C88        0603                3422.5mil   1964.992mil       3395mil       1965mil       3395mil   1964.992mil  T        360.00 0.1uF          
