Quantity,Value,Designator,Footprint,Manuf p/n,Manufacturer,Vendor,Vendor p/n
"1","EP3C16F256C6","U9","FBGA256-2C","EP3C16F256C6","Altera","DigiKey","544-2459-ND"
"2","74ALVC125-DC","U10, U17","SO-14","SN74ALVC125DR","","",""
"1","CY7C68013A-128AXC","U11","TQFP-128","CY7C68013A-128AXC","Cypress","DigiKey","428-1668-ND"
"2","24AA64","U12, U28","SO-8","","","",""
"1","CDCLVD110ARHBT","U13","S-PVQFN-G32","CDCLVD110ARHBT","TI","DigiKey","296-23857-1-ND"
"1","C5310-D105-SV033-RFL-A1-100","U14","G218B","","","",""
"4","IDT72V2111L15PF","U15, U16, U18, U19","TQFP 64","IDT72V2105L10PFG","IDT","DigiKey","800-1511-ND"
"1","DS2411R","U20","SOT-23","DS2411R+T&R","Maxim","DigiKey","DS2411R+CT-ND"
"1","SN74AHC02DR","U22","SO-14","SN74AHC02DR","TI","DigiKey","296-4511-1-ND"
"2","MC74HC125A","U23, U24","SO-14","MC74HC125ADG","ON Semi","DigiKey","MC74HC125ADGOS-ND"
"1","SN7406","U25","SO-14","SN7406DR","TI","DigiKey","296-1017-1-ND"
"1","LT1963AEQ#PBF","U26","DDPAK5","LT1963AEQ#PBF","Linear Tech","DigiKey","LT1963AEQ#PBF-ND"
"1","LT1963AEQ-2.5V","U27","DDPAK5","LT1963AEQ-2.5#PBF","Linear Tech","DigiKey","LT1963AEQ-2.5#PBF-ND"
"1","MSP430F5438","U29","S-PQFP-G100","MSP430F5438IPZ","","Mouser","595-MSP430F5438IPZ"
"2","SN65HVD08","U30, U33","SO-8","SN65HVD08D","TI","DigiKey","296-14010-5-ND"
"1","ACSL_6210","U32","SO-8","","","",""
"1","SN74AC14","U44","SO-14","SN74AC14DR","TI","DigiKey","296-4300-1-ND"
