Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

           TARGET_MECHANICAL_5 -27864.189mil -16698.189mil       -624mil      -1091mil -27864.189mil -16698.189mil  T          0.00 Comment        
           TARGET_MECHANICAL_5 -27864.189mil -16698.189mil       7364mil       8065mil -27864.189mil -16698.189mil  T          0.00 Comment        
           TARGET_MECHANICAL_5 -27864.189mil -16698.189mil      -1340mil       8148mil -27864.189mil -16698.189mil  T          0.00 Comment        
U1         SuperFin_Footprint   2891.472mil   3340.677mil   3881.827mil    2600.52mil   3366.866mil   2583.197mil  T         90.00 SuperFin Module
R9         SMD_0805          5208.047mil   2730.811mil   5208.047mil   2730.811mil   5208.047mil   2775.811mil  T        270.00 Res 0805       
R10        SMD_0805          5208.047mil   2530.811mil   5208.047mil   2530.811mil   5208.047mil   2575.811mil  T        270.00 Res 0805       
R11        SMD_0805          5208.047mil   2330.811mil   5208.047mil   2330.811mil   5208.047mil   2375.811mil  T        270.00 Res 0805       
R12        SMD_0805          5278.047mil   1511.811mil   5278.047mil   1511.811mil   5323.047mil   1511.811mil  T        180.00 Res 0805       
R13        SMD_0805          4828.047mil   1041.811mil   4828.047mil   1041.811mil   4828.047mil   1086.811mil  T        270.00 Res 0805       
R14        SMD_0805          4728.047mil   1036.811mil   4728.047mil   1036.811mil   4728.047mil   1081.811mil  T        270.00 Res 0805       
R15        SMD_0805          4628.047mil   1036.811mil   4628.047mil   1036.811mil   4628.047mil   1081.811mil  T        270.00 Res 0805       
R16        SMD_0805          4528.047mil   1036.811mil   4528.047mil   1036.811mil   4528.047mil   1081.811mil  T        270.00 Res 0805       
R17        SMD_0805          4428.047mil   1036.811mil   4428.047mil   1036.811mil   4428.047mil   1081.811mil  T        270.00 Res 0805       
R18        SMD_0805          4328.047mil   1036.811mil   4328.047mil   1036.811mil   4328.047mil   1081.811mil  T        270.00 Res 0805       
R19        SMD_0805          4228.047mil   1036.811mil   4228.047mil   1036.811mil   4228.047mil   1081.811mil  T        270.00 Res 0805       
R20        SMD_0805          4128.047mil   1036.811mil   4128.047mil   1036.811mil   4128.047mil   1081.811mil  T        270.00 Res 0805       
R21        SMD_0805          4028.047mil   1036.811mil   4028.047mil   1036.811mil   4028.047mil   1081.811mil  T        270.00 Res 0805       
R22        SMD_0805          3928.047mil   1036.811mil   3928.047mil   1036.811mil   3928.047mil   1081.811mil  T        270.00 Res 0805       
R23        SMD_0805          3828.047mil   1036.811mil   3828.047mil   1036.811mil   3828.047mil   1081.811mil  T        270.00 Res 0805       
R24        SMD_0805          3728.047mil   1036.811mil   3728.047mil   1036.811mil   3728.047mil   1081.811mil  T        270.00 Res 0805       
R25        SMD_0805          3628.047mil   1036.811mil   3628.047mil   1036.811mil   3628.047mil   1081.811mil  T        270.00 Res 0805       
R26        SMD_0805          3528.047mil   1036.811mil   3528.047mil   1036.811mil   3528.047mil   1081.811mil  T        270.00 Res 0805       
R27        SMD_0805          3428.047mil   1036.811mil   3428.047mil   1036.811mil   3428.047mil   1081.811mil  T        270.00 Res 0805       
R28        SMD_0805          3328.047mil   1036.811mil   3328.047mil   1036.811mil   3328.047mil   1081.811mil  T        270.00 Res 0805       
D149       LED_SMD_0402      3711.047mil   6714.567mil   3711.047mil   6714.567mil   3711.047mil   6732.283mil  T        270.00 LED SMD 0402   
D150       LED_SMD_0402      3811.047mil   6712.602mil   3811.047mil   6712.602mil   3811.047mil   6730.319mil  T        270.00 LED SMD 0402   
D151       LED_SMD_0402      3911.047mil   6712.602mil   3911.047mil   6712.602mil   3911.047mil   6730.319mil  T        270.00 LED SMD 0402   
D152       LED_SMD_0402      4013.047mil    6710.63mil   4013.047mil    6710.63mil   4013.047mil   6728.346mil  T        270.00 LED SMD 0402   
D153       LED_SMD_0402      4111.047mil   6714.567mil   4111.047mil   6714.567mil   4111.047mil   6732.283mil  T        270.00 LED SMD 0402   
D154       LED_SMD_0402      4211.047mil   6717.811mil   4211.047mil   6717.811mil   4211.047mil   6735.528mil  T        270.00 LED SMD 0402   
D155       LED_SMD_0402      4311.047mil   6717.811mil   4311.047mil   6717.811mil   4311.047mil   6735.528mil  T        270.00 LED SMD 0402   
D156       LED_SMD_0402      4409.449mil   6717.811mil   4409.449mil   6717.811mil   4409.449mil   6735.528mil  T        270.00 LED SMD 0402   
J7         HDR2X7                 930mil       5869mil        980mil       5569mil        980mil       5569mil  T         90.00 15-91-0140     
TP1        PAD_80D_052H      5511.811mil   5905.512mil   5511.811mil   5905.512mil   5511.811mil   5905.512mil  T         90.00 Test point     
TP2        PAD_80D_052H      5708.661mil   6102.362mil   5708.661mil   6102.362mil   5708.661mil   6102.362mil  T         90.00 Test point     
TP3        PAD_80D_052H      5905.512mil   5905.512mil   5905.512mil   5905.512mil   5905.512mil   5905.512mil  T         90.00 Test point     
TP4        PAD_80D_052H      5314.961mil   6102.362mil   5314.961mil   6102.362mil   5314.961mil   6102.362mil  T         90.00 Test point     
TP5        PAD_80D_052H           714mil       7179mil        714mil       7179mil        714mil       7179mil  T         90.00 Test point     
TP6        PAD_80D_052H          5804mil       1625mil       5804mil       1625mil       5804mil       1625mil  T         90.00 Test point     
TP7        PAD_80D_052H          5804mil       6989mil       5804mil       6989mil       5804mil       6989mil  T         90.00 Test point     
TP8        PAD_80D_052H           456mil        842mil        456mil        842mil        456mil        842mil  T         90.00 Test point     
TP9        PAD_80D_052H           486mil       5095mil        486mil       5095mil        486mil       5095mil  T         90.00 Test point     
TP10       PAD_80D_052H          2038mil        507mil       2038mil        507mil       2038mil        507mil  T         90.00 Test point     

