Quantity,Vendor,Vendor p/n,Manuf p/n,Designator,Value,Manufacturer,COST,Footprint
4,DIGIKEY,DG213DY-T1-E3CT-ND,DG213DY-T1-E3,"U3A, U3B, U3C, U3D",DG213A,VISHAY,2.73,SOIC16
1,DIGIKEY,MAX6341CSA+-ND,MAX6341CSA+,U8,MAX6341,MAXIM,17.76,NSO8_M
1,DIGIKEY,FIN1002M5XCT-ND,FIN1002M5X,U10,FIN1002M5X,FAIRCHILD,0.84,SOT-23 5
8,DIGIKEY,SSM2210SZ-ND,SSM2210SZ,"U11A, U11B, U11C, U11D, U13A, U13B, U13C, U13D",SSM2210,ANALOG DEVICES,5.4,SO-8_M
4,DIGIKEY,BAS70DW-04-FDICT-ND,BAS70DW-04-7-F,"U12A, U12B, U12C, U12D",Diode array,DIODES INC,0.67,SOT-363
1,DIGIKEY,544-1300-ND,EPM570T144C3,U14,EPM570T144C3,ALTERA,39.71,TQFP144_L
1,DIGIKEY,DS2411R+CT-ND,DS2411R+T&R,U15,DS2411,MAXIM,1.25,SMD_SOT23_3
4,INTERFET,IFN860,IFN860,"Q10A, Q10B, Q10C, Q10D",IFN860,INTERFET,12.18,TO-71
1,MAXIM DIRECT,MAX1258BETM+,MAX1258BETM+,U9,MAX1258,MAXIM,23.45,QFN48_M
4,Mouser,595-ADS8422IBPFBT,ADS8422IBPFBT,"U6A, U6B, U6C, U6D",ADS8422,TEXAS INST,49.42,TQFP48_m
4,Mouser,595-THS4151CD,THS4151CD,"U7A, U7B, U7C, U7D",THS4151,TEXAS INST,10.3,182H_M
4,Newark,49K9688,DG642DY-E3,"U2A, U2B, U2C, U2D",DG642,VISHAY,2,182H_M
1,SAMETC,QMSS-078-01-L-D-EM2-PC4,QMSS-078-01-L-D-EM2-PC4,J5,QMSS-EM-PC4,SAMTEC,20,QMS EDGE PWR PINS

3,,,,"P1, P2, P3",,,,"HDR1X2, HDR2X5, HDR2X10"
4,,,300144  Series 1K500/3K480,"R1A, R1B, R1C, R1D",1K500,Vishay,24.12,Vishay 3 pin
4,,,300144 Series 200R0/2K460,"R2A, R2B, R2C, R2D",200R,Vishay,24.12,vishay 3 pin
4,,,300144 Series  500R0/500R0,"R5A, R5B, R5C, R5D",500R0,Vishay,24.12,Vishay 3 pin
4,,,300145 Series,"R8A, R8B, R8C, R8D",500R0,Vishay,42.47,VISHAY 6 pin
