Level,item_number,reference_designator,Quantity
0,830-00023,none,1
1,120-00002,"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12",12
1,120-00065,"C13, C14, C15, C16, C17, C18, C19, C20",8
1,180-00006,"CCD1, R5, R6, R7, R8",5
1,125-00100,P1,1
1,195-00005,"Q1, Q2",2
1,180-00033,"R1, R2, R3, R4",4
1,181-01002,"R9, R10, R11, R12, R13",5
1,135-00003,"RTD1, RTD2, RTD3, RTD4",4
1,175-00029,PCB,1
