Level,item_number,reference_designator,Quantity
0,830-00024,none,1
1,125-00101,J1,1
1,125-00099,J2,1
1,180-00005,"R1, R2",2
1,135-00002,RTD5,1
1,125-00098,Shorting Block,1
1,175-00030,Flex Circuit,1
