Field=Vendor p/n~String~Vendor p/n~100|Field=Manufacturer~String~Manufacturer~100|Field=Manuf p/n~String~Manuf p/n~164|Field=Designator~String~Designator~100|Field=Quantity~Integer~Quantity~100|Field=Vendor~String~Vendor~100|Field=Vendor Mult.~String~Vendor Mult.~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~0.4 Lambert.PrjPCB|ReportField=ProjectFullPath~\\Files\users\rlobdill\Altum Projects\0.4 Lambert\0.4 Lambert.PrjPCB|ReportField=Title~Bill of Materials For Project [0.4 Lambert.PrjPCB] (PCB Document : Point4_Lambert.PcbDoc)|ReportField=TotalQuantity~190|ReportField=ReportTime~1:19:01 PM|ReportField=ReportDate~10/21/2009|ReportField=ReportDateTime~10/21/2009 1:19:01 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~10/21/2009|ReportField=CurrentTime~1:07:43 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~\\Files\users\rlobdill\Altum Projects\0.4 Lambert\Top_Level_IO.SchDoc|ReportField=DocumentName~Top_Level_IO.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~10/20/2009|ReportField=Organization~|ReportField=PageSetup~Record=PageOptions|CenterHorizontal=True|CenterVertical=True|PrintScale=1.09|XCorrection=1.00|YCorrection=1.00|PrintKind=0|BorderSize=5000000|LeftOffset=0|BottomOffset=0|Orientation=2|PaperLength=1000|PaperWidth=1000|Scale=100|PaperSource=7|PrintQuality=-4|MediaType=1|DitherType=10|PaperKind=Tabloid 11 x 17in|PrintScaleMode=1|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=Generated From FPGA Project~Point4_Lambert_PLD_Project.PrjFpg|ReportField=UNUSED_INPUT~NoERC|ReportField=UNUSED_IO~NoERC|ReportField=UNUSED_SPECIAL~RouteSeparate|ReportField=VREF~NoERC|ReportField=DataSourceFileName~0.4 Lambert.PrjPCB|ReportField=DataSourceFullPath~\\Files\users\rlobdill\Altum Projects\0.4 Lambert\0.4 Lambert.PrjPCB|ReportField=PCBDataSourceFileName~Point4_Lambert.PcbDoc|ReportField=PCBDataSourceFullPath~\\Files\users\rlobdill\Altum Projects\0.4 Lambert\Point4_Lambert.PcbDoc
ZXMN3B01FCT-ND|ZETEX|ZXMN3B01FTA|Q1, Q2, Q3, Q5, Q6, Q8, Q9, Q10|8|DIGIKEY|1
NJT4031NT1GOSCT-ND|ON Semi|NJT4031NT1G|Q4|1|DigiKey|1
541-10KCCT-ND|Vishay/Dale|CRCW080510KFKEA|R1, R2|2|DIGIKEY|10
541-4.7KCCT-ND|Vishay/Dale|CRCW08054.7KFKEA|R3, R6|2|DIGIKEY|10
541-00R0CCT-ND|Vishay/Dale|CRCW080500R0FKEA|R4, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26|12|DIGIKEY|10
541-100KCCT-ND|Vishay/Dale|CRCW0805100KFKEA|R5|1|DIGIKEY|10
541-10.0KCCT-ND|Vishay/Dale|CRCW080510.0KFKEA|R7, R15|2|DIGIKEY|10
541-0R00CCT-ND|Vishay/Dale|CRCW08050R00FKEA|R8|1|DIGIKEY|10
541-1R85CCT-ND|Vishay/Dale|CRCW08051R85FKEA|R9|1|DIGIKEY|10
541-1R10CCT-ND|Vishay/Dale|CRCW08051R10FKEA|R10|1|DIGIKEY|10
541-2kCCT-ND|DALE|CRCW08052kFKEA|R11|1|DigiKey|10
541-100KCCT-ND|Vishay/Dale|CRCW0805100KFKEA|R12, R14|2|DigiKey|10
541-10R0CCT-ND|Vishay/Dale|CRCW080510R0FKEA|R13|1|DIGIKEY|10
541-4.99KCCT-ND|Vishay/Dale|CRCW08054.99KFKEA|R27, R28|2|DIGIKEY|10
541-330KCCT-ND|Vishay/Dale|CRCW0805330KFKEA|R29, R30, R31|3|DIGIKEY|10
SW1020CT-ND|OMRON|B3U-1000P|S1|1|DigiKey|1
CKN6114-ND|C&K|SD03H0SB|S2|1|DigiKey|1
5015KCT-ND|Keystone|5015|TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP20, TP21, TP22, TP23, TP24, TP25, TP26, TP27, TP28, TP29, TP30, TP31, TP32, TP33, TP34, TP35, TP36, TP37, TP38, TP39, TP40, TP41, TP42, TP43|43|DigiKey|1
122-1282-ND|XILINX|XCR3128XL-10VQ100C|U1|1|DigiKey|1
336-1160-ND|SILICON LABS|CP2102-GM|U2|1|DigiKey|1
BF-537E|BLUETECHNIX|BF-537E|U3|1|BLUTECHNIX|1
TLE5206-2IN-ND|INFINEON|TLE5206-2|U4|1|DigiKey|1
28M0315|MAXIM|MAX16820ATT+T|U5, U6, U8|3|Newark|1
MAX1169CCUD+|MAXIM|MAX1169CCUD|U7|1|MAXIM DIRECT|1
57M2014|LinearTech|LT1124CS8#PBF|U9|1|Newark|1
ADP3338AKCZ-3.3RL7CT-ND|ANALOG DEVICES|ADP3338AKCZ-3.3RL7|U10|1|DigiKey|1
PT78ST105S-ND|TEXAS INSTRUMENTS|PT78ST105S|U11|1|DigiKey|1
REF02AU-ND|BurrBrown|REF02AU|U12|1|DigiKey|1
MC55110CP2.4.G|PMD|MC55110CP2.4.G|U13|1|PMD|1
CTX694CT-ND|CTS|636L3C020M00000|U14|1|DigiKey|1
PS2811-4A-ND|NEC|PS2811-4-A|U15, U16|2|DigiKey|1
